lat,lon,SST_avg,SSS_avg
-38.5,231.5,1.99714285714286,-0.172928571428571
-38.5,232.5,2.00114285714286,-0.172857142857143
-38.5,233.5,2.00521428571429,-0.172642857142857
-38.5,234.5,2.00892857142857,-0.172285714285714
-38.5,235.5,2.01414285714286,-0.172928571428571
-38.5,236.5,2.02142857142857,-0.173142857142857
-38.5,237.5,2.02878571428571,-0.173571428571429
-38.5,238.5,2.03428571428571,-0.174642857142857
-38.5,239.5,2.03828571428571,-0.175714285714286
-38.5,240.5,2.04092857142857,-0.176571428571429
-38.5,241.5,2.04192857142857,-0.178214285714286
-38.5,242.5,2.04157142857143,-0.179285714285714
-38.5,243.5,2.04657142857143,-0.18
-38.5,244.5,2.05678571428571,-0.180571428571429
-38.5,245.5,2.06778571428571,-0.180571428571429
-38.5,246.5,2.07742857142857,-0.180214285714286
-38.5,247.5,2.08235714285714,-0.180214285714286
-38.5,248.5,2.08492857142857,-0.18
-38.5,249.5,2.09121428571429,-0.180285714285714
-38.5,250.5,2.09764285714286,-0.180571428571429
-38.5,251.5,2.1035,-0.180214285714286
-38.5,252.5,2.10892857142857,-0.179857142857143
-38.5,253.5,2.11707142857143,-0.178785714285714
-38.5,254.5,2.12385714285714,-0.178785714285714
-38.5,255.5,2.12914285714286,-0.178785714285714
-38.5,256.5,2.13185714285714,-0.178857142857143
-38.5,257.5,2.13485714285714,-0.178714285714286
-38.5,258.5,2.136,-0.1785
-38.5,259.5,2.13428571428571,-0.179071428571429
-38.5,260.5,2.13114285714286,-0.179785714285714
-38.5,261.5,2.12792857142857,-0.180071428571429
-38.5,262.5,2.13071428571429,-0.180285714285714
-38.5,263.5,2.13421428571429,-0.18
-38.5,264.5,2.13764285714286,-0.179428571428571
-38.5,265.5,2.143,-0.178785714285714
-38.5,266.5,2.14807142857143,-0.178214285714286
-38.5,267.5,2.15135714285714,-0.177857142857143
-38.5,268.5,2.15135714285714,-0.176857142857143
-38.5,269.5,2.15221428571429,-0.175642857142857
-37.5,80.5,2.29757142857143,-0.367785714285714
-37.5,81.5,2.30092857142857,-0.361357142857143
-37.5,82.5,2.30942857142857,-0.3545
-37.5,83.5,2.32414285714286,-0.3465
-37.5,84.5,2.33485714285714,-0.338214285714286
-37.5,85.5,2.34328571428571,-0.329214285714286
-37.5,86.5,2.35214285714286,-0.320928571428571
-37.5,87.5,2.36471428571429,-0.313071428571429
-37.5,88.5,2.37614285714286,-0.3055
-37.5,89.5,2.38764285714286,-0.298571428571429
-37.5,90.5,2.402,-0.291857142857143
-37.5,91.5,2.41735714285714,-0.285142857142857
-37.5,92.5,2.43121428571429,-0.278642857142857
-37.5,93.5,2.45442857142857,-0.272214285714286
-37.5,94.5,2.47928571428571,-0.264928571428571
-37.5,95.5,2.50207142857143,-0.257428571428571
-37.5,96.5,2.51914285714286,-0.249071428571429
-37.5,97.5,2.535,-0.240285714285714
-37.5,98.5,2.54821428571429,-0.232285714285714
-37.5,99.5,2.56121428571429,-0.224
-37.5,100.5,2.56978571428571,-0.216
